,YEAR,COUNTY,VIOLENT,F_DRUGOFF,total_population,drug_rate,violent_rate,treated,post_2010
1114,2002,Nevada County,255,237,93379.2,253.80384496761593,273.0800863575614,0,0
1115,2003,Nevada County,263,256,94052.3,272.18898421410216,279.6316517512065,0,0
1116,2004,Nevada County,276,215,94725.4,226.9718576010236,291.36852417619775,0,0
1117,2005,Nevada County,236,233,95398.5,244.2386410687799,247.38334460185433,0,0
1118,2006,Nevada County,302,193,96071.6,200.8918348398486,314.348881459245,0,0
1119,2007,Nevada County,249,233,96744.7,240.84006669099188,257.37844036934325,0,0
1120,2008,Nevada County,215,215,97417.8,220.69888665110483,220.69888665110483,0,0
1121,2009,Nevada County,211,240,98090.9,244.67101433466308,215.10660010255796,0,0
1151,2000,Orange County,6684,7978,2846289.0,280.29479789297574,234.832091892285,0,0
1152,2001,Orange County,6586,7786,2862683.3,271.9825836130738,230.06387049520987,0,0
1153,2002,Orange County,6688,8515,2879077.6,295.7544457988906,232.2966216679953,0,0
1154,2003,Orange County,6646,9776,2895471.9,337.63062939757765,229.53080636009625,0,0
1155,2004,Orange County,6269,9687,2911866.2,332.6732526377757,215.2914855771876,0,0
1156,2005,Orange County,6128,10911,2928260.5,372.6102920146619,209.27099894288776,0,0
1157,2006,Orange County,6124,10130,2944654.8,344.01315902971044,207.97004796623364,0,0
1158,2007,Orange County,6140,9145,2961049.1,308.8432407284297,207.3589391003344,0,0
1159,2008,Orange County,5961,8088,2977443.4,271.6424433122725,200.20531708512075,0,0
1160,2009,Orange County,6145,7524,2993837.7,251.31622866530137,205.25494752103629,0,0
1190,2000,Placer County,711,613,248399.0,246.78038156353287,286.2330363648807,0,0
1191,2001,Placer County,677,760,258402.3,294.11502916189215,261.99457202973815,0,0
1192,2002,Placer County,667,706,268405.6,263.0347503926893,248.50450214153508,0,0
1193,2003,Placer County,696,775,278408.9,278.36753781937284,249.99200815778516,0,0
1194,2004,Placer County,722,836,288412.2,289.8629114857138,250.33615082857105,0,0
1195,2005,Placer County,800,1152,298415.5,386.03892894303414,268.08258954377374,0,0
1196,2006,Placer County,755,1155,308418.8,374.4907897962122,244.797009780208,0,0
1197,2007,Placer County,790,1125,318422.1,353.30462301454577,248.0983574946588,0,0
1198,2008,Placer County,778,938,328425.4,285.60519375176216,236.8878899135085,0,0
1199,2009,Placer County,712,788,338428.7,232.84077266496607,210.3840483977866,0,0
1268,2000,Riverside County,5351,5195,1545387.0,336.1617510694732,346.25630990813306,0,0
1269,2001,Riverside County,5937,5155,1609812.4,320.22364842015133,368.8007372784556,0,0
1270,2002,Riverside County,6250,6265,1674237.8,374.20012855999306,373.3041984836323,0,0
1271,2003,Riverside County,6200,7210,1738663.2,414.6864096508168,356.59580302844165,0,0
1272,2004,Riverside County,5603,7950,1803088.6,440.91011390122475,310.7445746149135,0,0
1273,2005,Riverside County,5489,8073,1867514.0,432.2859159288766,293.9201526735543,0,0
1274,2006,Riverside County,6134,7567,1931939.4,391.67895224870927,317.50478301752116,0,0
